MISSPELLED	RIGHT
сомонахои	сомонаҳои
соатхои	соатҳои
наклиёти	нақлиёти
чамъиятии	ҷамъиятии
тарики	тариқи
кардаст	кардааст
мепошанд	мебошанд
омзгори	омӯзгори
пудратӣ	қудратӣ
овардаед	оварданд
пудрати	қудрати
пудрати	кудрати
башардустона	башардӯстона
мавлуд	мавҷуд
брюсел	брюссел
кортҳои	корҳои
донаду	дораду
асосои	асосии
асосои	асосҳои
озодиои	озодиҳои
озодиои	озодии
шарванд	шаҳрванд
мактабои	мактаби
мактабои	мактабҳои
дзандагӣ	дӯзандагӣ
донишҷёни	донишҷӯёни
мехӯред	мехӯрад
комисияи	комиссияи
бордони	борони
данара	данғара
бемориои	бемории
бемориои	бемориҳои
иддаъои	иддаои
маводои	маводҳои
муоиса	муоина
пажҳишгоҳи	пажӯҳишгоҳи
харидаи	хариди
харидаи	харидани
харидаи	харитаи
кабуди	камбуди
сузишворӣ	сӯзишворӣ
даврии	давраи
рангро	ҷангро
бобиев	бобоев
бобиев	боқиев
рабуданд	набуданд
торику	тоҷику
итилоъ	иттилоъ
модеми	модели
мошинаи	мошини
гардед	гардад
мерасонид	мерасонад
чораои	чораҳои
чораои	чорвои
зангро	ҷангро
либосои	либосхои
синфои	синфҳои
охонов	охунов
моияти	моҳияти
меъёрои	меъёри
амоати	аморати
зарипов	шарипов
аҳмедов	аҳмадов
амаликунандаи	амалкунандаи
тавонманд	тавонанд
миллали	миллати
наҳрҳо	шаҳрҳо
баҳрҳо	шаҳрҳо
тоикон	точикон
сиистифода	сӯиистифода
сиистифода	суистифода
шамолӣ	шимолӣ
медианд	медиханд
доруои	доруҳои
хусусиятои	хусусияти
робари	рохбари
гузариши	гузориши
омузгорон	омӯзгорон
чамъбаст	ҷамъбаст
задаст	задааст
набурданд	набуданд
баҳоҳои	баҳсҳои
макунед	мекунед
макунед	накунед
ахдофи	аҳдофи
сзишворӣ	сӯзишворӣ
бастаҳои	дастаҳои
инсонеро	инсонро
меронем	медонем
фарғонаи	фарзонаи
зарина	замина
орзӯҳои	орзуҳои
тафсили	тафсири
донишҷёнро	донишҷӯёнро
фурқати	фурсати
мамудов	маҳмудов
намеоям	намоям
объектои	объекти
пайёмбари	паёмбари
шаҳиди	шадиди
усмони	осмони
бимонд	бимонад
маблаои	маблаги
бадахшониро	бадахшонро
маҷмӯии	маҷмӯаи
калому	салому
барфро	барқро
қабодиён	қубодиён
кафидани	кашидани
равоқи	равони
имрӯзии	имрӯзаи
зангзада	ҷангзада
зартушт	зардушт
шароитои	шароитҳои
дарсои	дарсии
вохиди	шохиди
маҷмии	маҷмаи
пудрат	кудрат
тарофа	тарона
суханеро	суханро
нафааи	нафаси
маҳакҳои	маҳалҳои
ҳастаи	ҳастии
норасогиҳо	норасоиҳо
чиддан	ҷиддан
буридаанд	бурдаанд
хостед	хастед
бигиред	бигирад
бараъкс	баракс
мушкилотҳо	мушкилотро
дарида	харида
фуромадани	фаромадани
чаҳорчбаи	чаҳорчӯбаи
робарони	рохбарони
мукаддасоти	муқаддасоти
мебурдаанд	мебурданд
тавтеа	тавсеа
мебуранд	мебурданд
мустаққар	мустақар
машавед	нашавед
комисиюни	комиссиюни
ҷурабек	ҷӯрабек
омзгорӣ	омӯзгорӣ
гуфтаам	гуфтам
фалсафи	фалсафаи
корхонао	корхонаро
ҳамроҳон	ҳамроҳхон
хирадмандони	хирадмандонаи
ҷумҳурияви	ҷумҳурияти
сабтҳо	самтҳо
яхудиён	яҳудиён
озодӣро	озодиро
ҷавонанд	тавонанд
пештоз	пешвоз
медведов	медведев
мемирем	мегирем
зироатои	зироати
зироатои	зироатҳои
таҳвилгарони	таҳлилгарони
хориии	хоричи
маалли	махалли
бархрдор	бархурдор
саъодати	саодати
шравиро	шӯравиро
сҳбатҳо	сӯҳбатҳо
чиҳати	чихати
дурушту	дурусту
холиси	полиси
машраф	масраф
мегарда	мекарда
рзноманигорӣ	рӯзноманигорӣ
рисолаои	рисолаҳои
кмакҳои	кӯмакҳои
меҳисобед	меҳисобад
тариби	гариби
тоикони	точикони
давлатои	давлатхои
фанхои	занхои
меомзад	меомад
кадрои	кадрхои
моҳнома	шоҳнома
лаҳҷаҳои	лаҳзаҳои
масочид	масчид
бимирем	бигирем
баъзеро	баъзеҳо
баъзеро	баъзехо
шоиреро	шоирро
аввалиндарачаи	аввалиндараҷаи
ниҳолро	ниҳолҳо
озмони	ормони
медавам	меравам
бардори	барори
баракоти	баракати
равонем	расонем
равонем	тавонем
мемурданд	мебурданд
муобили	мукобили
шинанд	бинанд
афонистон	афгонистон
абдусалим	абдусалом
намедорем	намедонем
нигарӣ	дигарӣ
шӯришчиён	шӯришиён
авалан	акалан
шонаҳои	шохаҳои
мушкилҳо	мушкилро
андешед	андешид
намемонем	намедонем
бибинам	бубинам
инҷоро	инхоро
маҷмуа	маҷмӯа
маҷмуа	маҷмаа
тоиконро	точиконро
ботадриҷ	батадриҷ
бикӯшанд	бикашанд
фарзандонатро	фарзандонашро
духтуронро	духтаронро
ҳакимони	ҳокимони
баргро	баркро
метаркад	метарсад
макомотро	мақомотро
хикоят	химоят
хикоят	хидоят
ихвоналмуслимин	ихвонулмуслимин
